PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,Mora_mas_90
24,3,864,CASADO,20088.47224,109573.485,0
48,3,544,CASADO,34311.5726,68623.1452,0
36,4,441,CASADO,83538.92114,249531.8424,0
24,3,619,CASADO,50022.03573,237534.8066,0
45,6,129,CASADO,69480.93451,171557.863,0
12,9,,CASADO,79897.33279,111678.209,0
48,9,,CASADO,50700,550000,0
12,2,894,CASADO,153984.0911,584234.3814,0
48,2,933,SOLTERO,145683.0401,130804.0764,0
48,2,940,CASADO,349596.8008,419363.6651,0
48,3,918,CASADO,347657.5375,388938.0028,0
24,1,,SOLTERO,49399.37947,94963.68697,0
12,2,,SOLTERO,24377.25285,186011.1663,0
36,3,889,DIVORCIADO,89740.18639,112499.7515,0
24,9,,SOLTERO,146919.7811,133314.4067,0
36,2,818,CASADO,93802.96086,55890.54272,0
40,2,,DIVORCIADO,113717.7939,88292.75156,0
48,1,873,CASADO,147039.3149,201928.7929,0
18,1,837,DIVORCIADO,23541.5512,91497.52693,0
12,2,871,DIVORCIADO,41545.30342,127453.7251,0
48,2,894,SOLTERO,118300,132000,0
36,1,,DIVORCIADO,100602.9769,115507.1216,1
18,2,116,CASADO,130391.103,348193.2097,0
36,2,211,CASADO,67113.75954,290369.7352,0
24,4,,DIVORCIADO,95222.68634,100146.5588,0
12,1,342,DIVORCIADO,13612.8301,88395.00064,0
24,3,804,SOLTERO,94800,195000,0
36,4,,CASADO,54778.72516,389422.2168,0
12,2,,CASADO,100063.1034,180263.8059,0
48,2,651,CASADO,74893.32724,107589.2947,0
48,2,884,SOLTERO,593768.7543,286133.9171,0
48,2,483,CASADO,151090.7671,130411.2663,0
48,4,916,SOLTERO,106854.2137,118206.67,0
5,1,508,CASADO,11668.51689,179162.2672,0
48,7,711,CASADO,154809.8888,157647.3747,0
24,2,611,CASADO,27623.75914,94304.67622,0
48,6,,CASADO,95572.82805,209589.5352,0
36,2,822,CASADO,156679.8214,145315.4111,0
46,3,548,CASADO,150136.3828,130190.5265,0
24,2,662,CASADO,65104.87619,170832.2935,0
12,2,877,CASADO,81235.00559,218335.6516,0
42,5,675,SOLTERO,188427.7195,259433.6128,0
48,2,712,CASADO,235987.5015,144637.0002,0
24,7,904,CASADO,99671.46785,251507.4422,0
24,8,901,CASADO,106687.0748,220731.8789,0
18,5,820,CASADO,66374.85339,123749.7267,0
48,1,665,DIVORCIADO,99760.72552,254541.596,0
24,5,828,CASADO,155326.8146,362701.2601,0
12,1,,CASADO,100151.5357,201098.6265,0
